Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Disease
Loss of Taste,Cough,Loss of Smell,Chest Pain,Weakness,Headache,Sore Throat,Hypotension
Abdominal Pain,Confusion,Loss of Appetite,Diarrhea,Chest Pain,Chills,Swollen Lymph Nodes,Unknown
Weakness,Confusion,Dizziness,Abdominal Pain,Chest Pain,Vomiting,Runny Nose,Meningitis
Runny Nose,Loss of Smell,Rapid Heart Rate,Low Blood Pressure,Fatigue,Ear Pain,Skin Peeling,COVID-19
Headache,Fever,Chills,Chest Pain,Blurred Vision,Muscle Pain,Loss of Taste,Meningitis
Muscle Pain,Confusion,Fever,Loss of Appetite,Fatigue,Difficulty Swallowing,High Blood Pressure,Food Poisoning
Difficulty Swallowing,Swollen Lymph Nodes,Rash,Runny Nose,Confusion,Sore Throat,Headache,Hypertension
Shortness of Breath,Confusion,Cough,Rash,Vomiting,Sore Throat,High Blood Pressure,Pneumonia
Sweating,Shortness of Breath,Loss of Appetite,Ear Pain,Nausea,Rapid Heart Rate,Cough,Hypotension
Fever,Swollen Lymph Nodes,Sweating,Difficulty Swallowing,Cough,Headache,Diarrhea,Pneumonia
Abdominal Pain,Skin Redness,Fatigue,Vomiting,Headache,Fever,Runny Nose,Meningitis
Fever,Fatigue,Shortness of Breath,Low Blood Pressure,Loss of Taste,Cough,Difficulty Swallowing,Strep Throat
Fever,Confusion,Skin Redness,Loss of Appetite,Sore Throat,Shortness of Breath,Headache,Typhoid
Chest Pain,Swollen Lymph Nodes,Runny Nose,Joint Pain,Weakness,Blurred Vision,Skin Redness,Unknown
Chest Pain,Sore Throat,High Blood Pressure,Dizziness,Cough,Confusion,Chills,Meningitis
Chills,Loss of Taste,Joint Pain,Muscle Pain,Runny Nose,Shortness of Breath,Low Blood Pressure,Dengue
Dizziness,Loss of Appetite,Blurred Vision,Low Blood Pressure,Skin Peeling,Rash,High Blood Pressure,Dengue
High Blood Pressure,Loss of Taste,Weakness,Confusion,Sweating,Fatigue,Chills,Flu
Swollen Lymph Nodes,Weakness,Vomiting,Fever,Rapid Heart Rate,Rash,Shortness of Breath,COVID-19
Shortness of Breath,Runny Nose,Swollen Lymph Nodes,Diarrhea,Vomiting,Joint Pain,Muscle Pain,Unknown
Dizziness,Fatigue,Cough,Rapid Heart Rate,Skin Peeling,Sweating,Runny Nose,Typhoid
Cough,Loss of Taste,Headache,Dizziness,Rash,Difficulty Swallowing,Sweating,Unknown
Blurred Vision,Joint Pain,Chest Pain,Abdominal Pain,Vomiting,Skin Peeling,Cough,Pneumonia
Sweating,Fever,Diarrhea,Loss of Taste,Skin Peeling,Difficulty Swallowing,Rash,Unknown
Chills,Vomiting,Loss of Taste,Runny Nose,Chest Pain,High Blood Pressure,Rapid Heart Rate,Unknown
Rapid Heart Rate,Diarrhea,Shortness of Breath,Joint Pain,Vomiting,Rash,Dizziness,Pneumonia
Muscle Pain,Fever,Low Blood Pressure,Nausea,Sore Throat,Confusion,Vomiting,Hypotension
Fatigue,Chest Pain,Shortness of Breath,Skin Redness,Sore Throat,Dizziness,Cough,Migraine
Low Blood Pressure,Vomiting,Sweating,Skin Peeling,Loss of Smell,Cough,Headache,Ear Infection
Abdominal Pain,Low Blood Pressure,Sweating,Muscle Pain,Headache,Skin Peeling,Loss of Appetite,Flu
Low Blood Pressure,Sore Throat,Shortness of Breath,Loss of Smell,Swollen Lymph Nodes,Runny Nose,Rash,Scarlet Fever
Loss of Taste,Swollen Lymph Nodes,Sore Throat,Rash,Sweating,Nausea,Loss of Smell,Cold
Sweating,Rash,Headache,Muscle Pain,Shortness of Breath,Weakness,Abdominal Pain,Typhoid
Sore Throat,Difficulty Swallowing,Chest Pain,Loss of Appetite,Nausea,Headache,Confusion,Strep Throat
Shortness of Breath,Rapid Heart Rate,Dizziness,Fatigue,Loss of Smell,Skin Redness,Muscle Pain,Dengue
Loss of Smell,Skin Redness,Sweating,Diarrhea,Fatigue,Rash,Loss of Taste,Unknown
Low Blood Pressure,Confusion,Skin Redness,Joint Pain,Sweating,Runny Nose,Chills,Unknown
Vomiting,Fever,Diarrhea,Skin Redness,Sweating,Shortness of Breath,Rash,Ear Infection
Abdominal Pain,Nausea,Loss of Taste,Sore Throat,Skin Peeling,Fatigue,Loss of Appetite,Unknown
Fever,Weakness,Vomiting,Chills,Shortness of Breath,Headache,Abdominal Pain,Pneumonia
Low Blood Pressure,Sweating,Confusion,Ear Pain,Dizziness,Rash,Joint Pain,Unknown
Muscle Pain,Joint Pain,Fatigue,Confusion,Ear Pain,Blurred Vision,Nausea,Hypertension
Vomiting,Loss of Appetite,Muscle Pain,Nausea,Difficulty Swallowing,Abdominal Pain,Shortness of Breath,COVID-19
Muscle Pain,Skin Redness,Diarrhea,Fever,Dizziness,Loss of Taste,Ear Pain,Typhoid
Ear Pain,Skin Redness,Weakness,Blurred Vision,Dizziness,Confusion,Shortness of Breath,Scarlet Fever
Dizziness,Loss of Appetite,Runny Nose,Sore Throat,Weakness,Rapid Heart Rate,Chills,COVID-19
Abdominal Pain,Confusion,Fatigue,Diarrhea,Blurred Vision,Loss of Taste,Skin Peeling,Unknown
Difficulty Swallowing,Sore Throat,Confusion,Skin Peeling,Chest Pain,Weakness,Cough,Hypotension
Confusion,Headache,Dizziness,Loss of Appetite,Chills,Abdominal Pain,High Blood Pressure,Migraine
Chills,Ear Pain,Skin Redness,Swollen Lymph Nodes,Blurred Vision,Confusion,Runny Nose,Migraine
Joint Pain,Runny Nose,Skin Redness,Chest Pain,Chills,Low Blood Pressure,Confusion,Pneumonia
Sore Throat,Fatigue,Loss of Smell,Fever,Dizziness,Diarrhea,Blurred Vision,Migraine
Loss of Taste,Sweating,Rash,Blurred Vision,Loss of Appetite,Shortness of Breath,Fatigue,Pneumonia
Difficulty Swallowing,Headache,Loss of Appetite,Nausea,Sweating,Runny Nose,Cough,Hypertension
Sweating,Sore Throat,Rapid Heart Rate,Shortness of Breath,Muscle Pain,Ear Pain,Abdominal Pain,Strep Throat
Blurred Vision,Muscle Pain,Rash,Confusion,Skin Peeling,Skin Redness,Diarrhea,Unknown
Chest Pain,Abdominal Pain,Difficulty Swallowing,Joint Pain,Rapid Heart Rate,Weakness,Swollen Lymph Nodes,Food Poisoning
Runny Nose,Shortness of Breath,Skin Redness,Fatigue,Vomiting,Difficulty Swallowing,Swollen Lymph Nodes,Unknown
Rapid Heart Rate,Sweating,Blurred Vision,Skin Peeling,Confusion,Ear Pain,Sore Throat,Unknown
Ear Pain,Diarrhea,Chills,Swollen Lymph Nodes,Loss of Taste,Nausea,Sore Throat,Cold
Ear Pain,Diarrhea,Loss of Smell,Rapid Heart Rate,Vomiting,Sweating,Confusion,Unknown
Weakness,Skin Redness,High Blood Pressure,Nausea,Confusion,Abdominal Pain,Dizziness,Unknown
Chest Pain,Blurred Vision,Nausea,Cough,Ear Pain,Loss of Appetite,Diarrhea,Typhoid
Swollen Lymph Nodes,Fever,Weakness,Loss of Smell,Sweating,Low Blood Pressure,Loss of Appetite,Unknown
Headache,Fever,High Blood Pressure,Muscle Pain,Skin Redness,Loss of Smell,Confusion,COVID-19
Blurred Vision,Headache,Fatigue,Skin Redness,Weakness,Muscle Pain,Dizziness,Flu
Dizziness,Loss of Taste,Swollen Lymph Nodes,Rash,Blurred Vision,High Blood Pressure,Fatigue,Unknown
Dizziness,Runny Nose,Chills,Loss of Appetite,Swollen Lymph Nodes,Rapid Heart Rate,Nausea,Cold
Cough,Dizziness,Difficulty Swallowing,Headache,Sore Throat,Confusion,Chills,Migraine
Loss of Taste,Chills,Weakness,Loss of Smell,Confusion,Diarrhea,High Blood Pressure,Typhoid
Loss of Taste,Joint Pain,Low Blood Pressure,Weakness,Muscle Pain,Headache,Fatigue,Flu
Chest Pain,Skin Peeling,Low Blood Pressure,Muscle Pain,Joint Pain,Rash,Confusion,Unknown
Weakness,Skin Peeling,Skin Redness,Joint Pain,Vomiting,Loss of Taste,Diarrhea,Scarlet Fever
Ear Pain,Difficulty Swallowing,Low Blood Pressure,Blurred Vision,Confusion,High Blood Pressure,Vomiting,Migraine
Fatigue,Loss of Appetite,Sweating,Fever,Loss of Smell,Shortness of Breath,Loss of Taste,Food Poisoning
Vomiting,Difficulty Swallowing,Shortness of Breath,Muscle Pain,Ear Pain,Headache,Skin Peeling,Migraine
Weakness,Sore Throat,Headache,Confusion,Diarrhea,Shortness of Breath,Low Blood Pressure,Hypertension
Fever,Fatigue,Cough,Shortness of Breath,Low Blood Pressure,Loss of Taste,Sweating,Flu
Swollen Lymph Nodes,Vomiting,Joint Pain,Difficulty Swallowing,Chest Pain,Rash,High Blood Pressure,Unknown
Skin Peeling,Ear Pain,Blurred Vision,Low Blood Pressure,Confusion,Rapid Heart Rate,Loss of Taste,Unknown
Fatigue,Difficulty Swallowing,Weakness,Muscle Pain,Rash,Chest Pain,Diarrhea,Pneumonia
Nausea,Fatigue,Shortness of Breath,Joint Pain,Ear Pain,Vomiting,Skin Redness,Food Poisoning
Swollen Lymph Nodes,Dizziness,Chills,Weakness,Headache,Nausea,Ear Pain,Hypotension
Loss of Appetite,Joint Pain,Skin Peeling,Swollen Lymph Nodes,Sweating,Difficulty Swallowing,Low Blood Pressure,Malaria
Skin Peeling,Chest Pain,Rash,Vomiting,Loss of Taste,Loss of Appetite,Abdominal Pain,COVID-19
Fatigue,Sweating,Abdominal Pain,Ear Pain,Dizziness,Blurred Vision,Skin Peeling,Unknown
Vomiting,Sore Throat,Rapid Heart Rate,Ear Pain,Muscle Pain,Blurred Vision,Confusion,Meningitis
Skin Peeling,Sore Throat,Swollen Lymph Nodes,Headache,Chest Pain,Fatigue,Nausea,Malaria
Blurred Vision,Loss of Smell,Skin Peeling,Swollen Lymph Nodes,Rash,Sore Throat,Difficulty Swallowing,Dengue
Headache,Chest Pain,Skin Redness,Ear Pain,Rash,Skin Peeling,Vomiting,Meningitis
Confusion,Joint Pain,Loss of Appetite,Chills,Shortness of Breath,Loss of Smell,Weakness,Unknown
Cough,Joint Pain,Loss of Appetite,Diarrhea,Fatigue,Ear Pain,Blurred Vision,Unknown
Nausea,Confusion,Loss of Appetite,Low Blood Pressure,Dizziness,Difficulty Swallowing,Cough,Unknown
Chest Pain,High Blood Pressure,Skin Redness,Loss of Appetite,Headache,Vomiting,Muscle Pain,Ear Infection
Loss of Appetite,Ear Pain,Skin Peeling,Runny Nose,Blurred Vision,Chills,Sweating,Scarlet Fever
Shortness of Breath,Ear Pain,Loss of Taste,Loss of Appetite,Muscle Pain,Fever,Skin Redness,Malaria
Chest Pain,Joint Pain,Blurred Vision,Loss of Taste,Weakness,Fever,Shortness of Breath,Malaria
Loss of Appetite,Loss of Smell,Headache,Dizziness,Loss of Taste,Chest Pain,Fever,Typhoid
Fever,Chills,Nausea,Dizziness,Fatigue,Runny Nose,Skin Peeling,Hypertension
Abdominal Pain,Weakness,Muscle Pain,Swollen Lymph Nodes,Chills,Rash,Confusion,Typhoid
Low Blood Pressure,Abdominal Pain,Skin Peeling,Confusion,Blurred Vision,Loss of Smell,Weakness,COVID-19
Fever,Cough,Muscle Pain,Weakness,Joint Pain,Rash,Low Blood Pressure,Unknown
Low Blood Pressure,Loss of Taste,Shortness of Breath,Cough,Loss of Appetite,Sweating,Joint Pain,Hypotension
Sweating,Cough,Diarrhea,Fever,Chills,Runny Nose,Rapid Heart Rate,Unknown
Muscle Pain,Weakness,Swollen Lymph Nodes,High Blood Pressure,Cough,Skin Redness,Rash,Flu
Low Blood Pressure,Joint Pain,Fatigue,Abdominal Pain,Skin Peeling,Headache,Cough,Food Poisoning
Fatigue,Loss of Appetite,Rash,Abdominal Pain,Difficulty Swallowing,Muscle Pain,Dizziness,Cold
Shortness of Breath,Ear Pain,Rapid Heart Rate,Swollen Lymph Nodes,Fever,Loss of Taste,Loss of Appetite,Unknown
Fever,Swollen Lymph Nodes,Sweating,Dizziness,Loss of Smell,Diarrhea,Blurred Vision,Hypertension
Skin Redness,Shortness of Breath,Runny Nose,Loss of Taste,Headache,Loss of Appetite,Chills,Ear Infection
Loss of Appetite,Weakness,Headache,Nausea,Dizziness,Chest Pain,Abdominal Pain,COVID-19
Loss of Appetite,Rash,Chills,Swollen Lymph Nodes,Confusion,Nausea,High Blood Pressure,Unknown
Weakness,Confusion,Fever,Blurred Vision,Chills,Loss of Smell,Skin Redness,Flu
Runny Nose,Headache,Ear Pain,Abdominal Pain,Swollen Lymph Nodes,Nausea,Chills,Unknown
Sore Throat,Vomiting,Skin Peeling,Fatigue,Weakness,Nausea,Dizziness,Unknown
Difficulty Swallowing,Runny Nose,Skin Peeling,Rash,Chest Pain,High Blood Pressure,Sore Throat,Unknown
Muscle Pain,Sore Throat,Nausea,Fatigue,High Blood Pressure,Loss of Appetite,Ear Pain,Unknown
Difficulty Swallowing,Chills,Low Blood Pressure,Ear Pain,Joint Pain,Rash,Rapid Heart Rate,Unknown
Chills,Weakness,Loss of Appetite,Sweating,Headache,Loss of Taste,Swollen Lymph Nodes,Unknown
Skin Redness,Nausea,Abdominal Pain,Confusion,Ear Pain,Difficulty Swallowing,Shortness of Breath,Migraine
Ear Pain,High Blood Pressure,Shortness of Breath,Low Blood Pressure,Diarrhea,Joint Pain,Dizziness,Unknown
Nausea,High Blood Pressure,Chills,Headache,Weakness,Fever,Abdominal Pain,Dengue
Dizziness,Cough,Joint Pain,Loss of Smell,Runny Nose,Chest Pain,Sore Throat,Cold
Loss of Taste,Confusion,Joint Pain,Loss of Appetite,Abdominal Pain,Sweating,Difficulty Swallowing,Typhoid
Loss of Taste,Rapid Heart Rate,Sore Throat,Difficulty Swallowing,Diarrhea,Blurred Vision,Cough,COVID-19
Rapid Heart Rate,Cough,Skin Peeling,Fever,Rash,Muscle Pain,Ear Pain,Dengue
Cough,Low Blood Pressure,High Blood Pressure,Sore Throat,Rash,Loss of Taste,Joint Pain,Unknown
Diarrhea,Nausea,Swollen Lymph Nodes,Loss of Appetite,High Blood Pressure,Sweating,Muscle Pain,Unknown
Fatigue,Runny Nose,Sweating,Dizziness,Loss of Taste,Headache,Diarrhea,Ear Infection
High Blood Pressure,Headache,Rash,Loss of Taste,Cough,Chills,Confusion,Cold
Joint Pain,High Blood Pressure,Skin Peeling,Low Blood Pressure,Diarrhea,Weakness,Swollen Lymph Nodes,Dengue
Shortness of Breath,Rash,High Blood Pressure,Skin Redness,Loss of Appetite,Sore Throat,Chills,Flu
Ear Pain,Skin Redness,Dizziness,Diarrhea,Confusion,Sore Throat,Nausea,Hypertension
Diarrhea,Rapid Heart Rate,Abdominal Pain,Loss of Appetite,Runny Nose,Chest Pain,Skin Peeling,Unknown
Dizziness,Headache,High Blood Pressure,Loss of Smell,Fever,Joint Pain,Muscle Pain,Migraine
Vomiting,Muscle Pain,Cough,Diarrhea,Low Blood Pressure,High Blood Pressure,Shortness of Breath,Unknown
Skin Redness,Diarrhea,Dizziness,Rapid Heart Rate,Sore Throat,Low Blood Pressure,Shortness of Breath,Unknown
Loss of Taste,Rapid Heart Rate,Diarrhea,Dizziness,Chest Pain,Shortness of Breath,Muscle Pain,COVID-19
Loss of Taste,Skin Redness,Swollen Lymph Nodes,Dizziness,Runny Nose,Diarrhea,Shortness of Breath,Food Poisoning
Headache,Skin Peeling,High Blood Pressure,Ear Pain,Nausea,Loss of Smell,Joint Pain,Food Poisoning
Swollen Lymph Nodes,Difficulty Swallowing,Confusion,Vomiting,Chest Pain,Blurred Vision,Abdominal Pain,Pneumonia
Ear Pain,Loss of Taste,Weakness,Blurred Vision,Shortness of Breath,Rapid Heart Rate,Chest Pain,Unknown
Confusion,Dizziness,Loss of Smell,Difficulty Swallowing,High Blood Pressure,Diarrhea,Runny Nose,Unknown
Rash,Nausea,Dizziness,Low Blood Pressure,Chest Pain,Ear Pain,Loss of Appetite,COVID-19
Diarrhea,Low Blood Pressure,Sore Throat,Dizziness,Chest Pain,Rash,Loss of Smell,Hypotension
Headache,Shortness of Breath,Vomiting,Rash,Difficulty Swallowing,Chills,Dizziness,Migraine
Sore Throat,Confusion,Cough,Diarrhea,Chest Pain,High Blood Pressure,Fever,Food Poisoning
Loss of Taste,Blurred Vision,Loss of Smell,High Blood Pressure,Loss of Appetite,Nausea,Fever,Unknown
Joint Pain,Abdominal Pain,Loss of Taste,Rash,Muscle Pain,Sweating,Blurred Vision,Unknown
Difficulty Swallowing,Cough,Vomiting,Loss of Taste,Fever,Ear Pain,Chills,Unknown
Fatigue,Cough,Vomiting,Loss of Taste,Runny Nose,High Blood Pressure,Confusion,Hypertension
Rapid Heart Rate,Rash,Confusion,Skin Peeling,Dizziness,Fatigue,Shortness of Breath,Hypotension
Runny Nose,Skin Peeling,Weakness,Joint Pain,Skin Redness,Vomiting,Nausea,Typhoid
Fatigue,Confusion,Rash,Rapid Heart Rate,Chest Pain,Loss of Smell,Skin Redness,Scarlet Fever
Vomiting,Loss of Appetite,High Blood Pressure,Joint Pain,Low Blood Pressure,Muscle Pain,Runny Nose,Unknown
Weakness,Confusion,High Blood Pressure,Headache,Sore Throat,Loss of Appetite,Fatigue,Scarlet Fever
Fatigue,Dizziness,Diarrhea,Chills,Blurred Vision,Joint Pain,Confusion,COVID-19
Skin Redness,Blurred Vision,Sweating,Muscle Pain,Skin Peeling,Loss of Smell,Swollen Lymph Nodes,COVID-19
Skin Peeling,Loss of Smell,Runny Nose,Joint Pain,Blurred Vision,Confusion,Difficulty Swallowing,Ear Infection
Blurred Vision,High Blood Pressure,Shortness of Breath,Fever,Difficulty Swallowing,Cough,Vomiting,Dengue
Rash,Swollen Lymph Nodes,Loss of Taste,Chest Pain,Loss of Smell,Fatigue,Ear Pain,Unknown
Ear Pain,Joint Pain,Loss of Smell,Vomiting,Loss of Appetite,Loss of Taste,Skin Peeling,COVID-19
Headache,Difficulty Swallowing,Fever,Shortness of Breath,Swollen Lymph Nodes,Abdominal Pain,Runny Nose,Migraine
Headache,Skin Redness,Loss of Smell,Loss of Taste,Diarrhea,Joint Pain,Fatigue,Ear Infection
Dizziness,Swollen Lymph Nodes,Blurred Vision,Loss of Taste,Loss of Appetite,Cough,Loss of Smell,Unknown
Loss of Taste,Cough,Nausea,Confusion,Vomiting,Fatigue,High Blood Pressure,Flu
Rapid Heart Rate,Blurred Vision,Fatigue,Vomiting,Chest Pain,Weakness,Headache,Meningitis
Fatigue,Loss of Appetite,Dizziness,Skin Peeling,Weakness,Ear Pain,Nausea,Typhoid
Sore Throat,Rash,Low Blood Pressure,Nausea,Sweating,Blurred Vision,Chest Pain,Flu
Blurred Vision,Rapid Heart Rate,Swollen Lymph Nodes,Muscle Pain,Headache,Chest Pain,Skin Peeling,Strep Throat
Chest Pain,Loss of Smell,Dizziness,Fatigue,Rapid Heart Rate,Blurred Vision,Difficulty Swallowing,Migraine
Dizziness,Loss of Appetite,Headache,Loss of Taste,Low Blood Pressure,Blurred Vision,Cough,Unknown
Chills,Shortness of Breath,Runny Nose,Swollen Lymph Nodes,Sweating,Loss of Smell,Abdominal Pain,COVID-19
Skin Redness,Vomiting,Diarrhea,High Blood Pressure,Sore Throat,Rash,Chest Pain,Unknown
Loss of Smell,Loss of Appetite,Headache,Dizziness,Confusion,Rapid Heart Rate,Chest Pain,Unknown
Abdominal Pain,Skin Redness,Vomiting,Chills,Dizziness,Loss of Taste,Blurred Vision,Unknown
Vomiting,Difficulty Swallowing,High Blood Pressure,Rash,Diarrhea,Fever,Weakness,Food Poisoning
High Blood Pressure,Chills,Diarrhea,Rapid Heart Rate,Dizziness,Cough,Abdominal Pain,Migraine
Nausea,Shortness of Breath,High Blood Pressure,Difficulty Swallowing,Loss of Smell,Vomiting,Swollen Lymph Nodes,Unknown
Swollen Lymph Nodes,Headache,Dizziness,Vomiting,Chills,Shortness of Breath,High Blood Pressure,Hypertension
Skin Peeling,High Blood Pressure,Rapid Heart Rate,Rash,Loss of Taste,Loss of Appetite,Blurred Vision,Unknown
Difficulty Swallowing,Sweating,Rapid Heart Rate,Cough,Fatigue,Swollen Lymph Nodes,Blurred Vision,Ear Infection
Shortness of Breath,Abdominal Pain,Ear Pain,Diarrhea,Loss of Appetite,Loss of Smell,Chills,COVID-19
Sweating,Diarrhea,Ear Pain,Difficulty Swallowing,Nausea,Swollen Lymph Nodes,Low Blood Pressure,Unknown
Fatigue,Abdominal Pain,High Blood Pressure,Skin Peeling,Ear Pain,Weakness,Diarrhea,Scarlet Fever
Loss of Appetite,Confusion,Skin Redness,Abdominal Pain,Loss of Smell,Headache,Dizziness,Migraine
Sweating,Chest Pain,Difficulty Swallowing,Blurred Vision,High Blood Pressure,Muscle Pain,Swollen Lymph Nodes,Strep Throat
Confusion,Diarrhea,Ear Pain,Chills,Loss of Taste,Vomiting,Skin Peeling,Unknown
Chills,Nausea,Blurred Vision,Ear Pain,Loss of Appetite,Shortness of Breath,Weakness,Typhoid
Abdominal Pain,Sore Throat,Swollen Lymph Nodes,Ear Pain,Skin Peeling,Chills,Diarrhea,Unknown
Confusion,Skin Peeling,Vomiting,Sweating,Abdominal Pain,Blurred Vision,Ear Pain,Unknown
Abdominal Pain,Loss of Smell,Ear Pain,Low Blood Pressure,Vomiting,Shortness of Breath,Swollen Lymph Nodes,Unknown
Skin Redness,Swollen Lymph Nodes,Confusion,Loss of Smell,High Blood Pressure,Ear Pain,Difficulty Swallowing,Unknown
Dizziness,Skin Peeling,Loss of Smell,Vomiting,Sore Throat,Low Blood Pressure,Fatigue,COVID-19
Runny Nose,Loss of Appetite,Difficulty Swallowing,Rash,Muscle Pain,Nausea,Headache,Typhoid
Fatigue,Sweating,Loss of Taste,Low Blood Pressure,Loss of Smell,High Blood Pressure,Loss of Appetite,Typhoid
Headache,Rapid Heart Rate,Swollen Lymph Nodes,Vomiting,Nausea,Difficulty Swallowing,Weakness,Flu
Shortness of Breath,Rash,Swollen Lymph Nodes,Rapid Heart Rate,High Blood Pressure,Skin Redness,Diarrhea,COVID-19
Nausea,Sweating,Sore Throat,Headache,Confusion,Skin Peeling,Loss of Smell,Unknown
Blurred Vision,Cough,Low Blood Pressure,Ear Pain,Sweating,Shortness of Breath,Muscle Pain,Unknown
Loss of Appetite,Shortness of Breath,Diarrhea,Fever,Loss of Smell,Difficulty Swallowing,Cough,Meningitis
Fever,Loss of Taste,Sore Throat,Difficulty Swallowing,Loss of Appetite,Cough,Joint Pain,Flu
Skin Redness,Loss of Appetite,Abdominal Pain,Low Blood Pressure,Runny Nose,Vomiting,Fatigue,Unknown
Dizziness,Cough,Weakness,Blurred Vision,Vomiting,Chest Pain,High Blood Pressure,Unknown
Confusion,Blurred Vision,Dizziness,Vomiting,Shortness of Breath,Rash,Chills,Food Poisoning
Low Blood Pressure,Weakness,Dizziness,Loss of Smell,Loss of Taste,Chest Pain,Blurred Vision,Typhoid
Diarrhea,Headache,Shortness of Breath,Loss of Appetite,Fever,Abdominal Pain,Dizziness,Migraine
Confusion,Loss of Taste,Abdominal Pain,Dizziness,Nausea,Cough,Chills,Meningitis
Fatigue,Blurred Vision,Abdominal Pain,Confusion,Swollen Lymph Nodes,Vomiting,Diarrhea,Unknown
Joint Pain,Sweating,Ear Pain,Headache,High Blood Pressure,Loss of Appetite,Rash,Unknown
Runny Nose,Sweating,Ear Pain,Sore Throat,Fatigue,Low Blood Pressure,Chest Pain,Malaria
Joint Pain,Sweating,Low Blood Pressure,Abdominal Pain,Loss of Taste,Fever,Headache,Meningitis
Loss of Smell,Skin Redness,Loss of Appetite,Weakness,Vomiting,Loss of Taste,Joint Pain,Unknown
Ear Pain,Headache,Loss of Appetite,Joint Pain,Loss of Taste,Skin Redness,Fatigue,Cold
Vomiting,Difficulty Swallowing,Fatigue,Sweating,Diarrhea,Headache,Sore Throat,COVID-19
Skin Redness,High Blood Pressure,Blurred Vision,Nausea,Weakness,Diarrhea,Loss of Taste,Unknown
Chills,Headache,Sweating,Skin Redness,Diarrhea,Chest Pain,Weakness,Food Poisoning
Headache,Skin Peeling,Rapid Heart Rate,Abdominal Pain,Confusion,Swollen Lymph Nodes,Diarrhea,Food Poisoning
Skin Peeling,Shortness of Breath,Joint Pain,Nausea,Blurred Vision,Fatigue,Swollen Lymph Nodes,COVID-19
Shortness of Breath,Loss of Taste,Rapid Heart Rate,Diarrhea,Loss of Smell,Skin Peeling,Swollen Lymph Nodes,Unknown
Cough,Abdominal Pain,High Blood Pressure,Dizziness,Chills,Low Blood Pressure,Difficulty Swallowing,Typhoid
Chest Pain,Dizziness,Low Blood Pressure,Loss of Smell,Sore Throat,Confusion,Nausea,Flu
Loss of Appetite,Weakness,Fever,Diarrhea,Difficulty Swallowing,Rash,Vomiting,Ear Infection
Ear Pain,Skin Redness,Swollen Lymph Nodes,Sore Throat,Dizziness,Loss of Smell,Blurred Vision,Unknown
Nausea,Dizziness,Swollen Lymph Nodes,Headache,Low Blood Pressure,High Blood Pressure,Vomiting,Unknown
Skin Peeling,Loss of Appetite,Cough,Abdominal Pain,Low Blood Pressure,Diarrhea,Loss of Taste,COVID-19
Shortness of Breath,Loss of Appetite,Low Blood Pressure,Sore Throat,Loss of Taste,Muscle Pain,Blurred Vision,COVID-19
Rash,Runny Nose,Swollen Lymph Nodes,Cough,Headache,Chest Pain,Skin Peeling,Pneumonia
Ear Pain,Abdominal Pain,Blurred Vision,Fever,Loss of Taste,Sore Throat,Diarrhea,Migraine
Chest Pain,Joint Pain,Vomiting,Blurred Vision,Weakness,Cough,Shortness of Breath,Unknown
Vomiting,Nausea,Skin Peeling,Cough,Abdominal Pain,Sweating,Confusion,Migraine
Dizziness,Skin Peeling,Rash,Fatigue,Loss of Taste,Vomiting,Nausea,Scarlet Fever
Chest Pain,Muscle Pain,Weakness,Swollen Lymph Nodes,Loss of Smell,Sweating,Runny Nose,Unknown
Joint Pain,Runny Nose,Skin Redness,High Blood Pressure,Skin Peeling,Loss of Taste,Muscle Pain,Unknown
Blurred Vision,Weakness,Swollen Lymph Nodes,Joint Pain,Skin Redness,Vomiting,Sweating,Unknown
Loss of Smell,Swollen Lymph Nodes,Abdominal Pain,Low Blood Pressure,Difficulty Swallowing,Runny Nose,Muscle Pain,COVID-19
Difficulty Swallowing,Sweating,High Blood Pressure,Weakness,Fatigue,Muscle Pain,Nausea,Typhoid
Headache,Fever,Skin Redness,Fatigue,Rash,Cough,Nausea,Strep Throat
Fatigue,Joint Pain,Swollen Lymph Nodes,Chills,Difficulty Swallowing,Ear Pain,Rash,COVID-19
Diarrhea,Low Blood Pressure,Weakness,Abdominal Pain,Difficulty Swallowing,Ear Pain,Dizziness,Unknown
Diarrhea,Shortness of Breath,High Blood Pressure,Abdominal Pain,Fatigue,Weakness,Loss of Smell,Flu
Confusion,Abdominal Pain,Skin Redness,Fever,Skin Peeling,Swollen Lymph Nodes,Nausea,Dengue
Loss of Taste,Skin Peeling,Sweating,Ear Pain,Loss of Appetite,Swollen Lymph Nodes,Fatigue,Unknown
Swollen Lymph Nodes,Weakness,Runny Nose,Dizziness,Diarrhea,Fatigue,Cough,COVID-19
Chills,Low Blood Pressure,Rapid Heart Rate,Fatigue,Swollen Lymph Nodes,Runny Nose,Dizziness,Unknown
Rapid Heart Rate,Chills,Sweating,Rash,Fatigue,Ear Pain,Sore Throat,Cold
Shortness of Breath,Ear Pain,Chills,Headache,Sweating,Chest Pain,Loss of Taste,Dengue
Ear Pain,Difficulty Swallowing,Low Blood Pressure,Headache,Fever,Weakness,Rash,Unknown
Headache,Fever,Rash,Low Blood Pressure,Abdominal Pain,Chest Pain,Skin Peeling,Unknown
Loss of Taste,Sore Throat,Low Blood Pressure,Chest Pain,Fatigue,Confusion,Chills,Malaria
Runny Nose,Loss of Taste,Cough,Rapid Heart Rate,Sore Throat,Skin Redness,Fever,COVID-19
